Subject-Experiment,accuracy,recall,f1_score
sub1ex1,71.11999239,71.11999239,67.22619101
sub1ex2,62.50927776,62.50927776,60.50325276
sub1ex3,55.71510134,55.71510134,55.08971507
sub2ex1,64.72045606,64.72045606,61.82212951
sub2ex2,65.06059741,65.06059741,62.89263833
sub2ex3,58.55457227,58.55457227,55.5941652
sub3ex1,61.1900622,61.1900622,60.44574428
sub3ex2,66.02418706,66.02418706,63.58375763
sub3ex3,71.83937577,71.83937577,70.53794155
sub4ex1,77.93674686,77.93674686,78.03536711
sub4ex2,55.28110105,55.28110105,53.02274886
sub4ex3,67.44686373,67.44686373,67.41462203
sub5ex1,59.34912932,59.34912932,55.83432932
sub5ex2,59.49670845,59.49670845,57.87013348
sub5ex3,45.21674063,45.21674063,41.99055638
sub6ex1,73.73844064,73.73844064,71.14358061
sub6ex2,76.42185486,76.42185486,76.01810243
sub6ex3,71.46125832,71.46125832,70.05434144
sub7ex1,72.38505523,72.38505523,72.43931842
sub7ex2,85.41605031,85.41605031,85.34416593
sub7ex3,65.76224708,65.76224708,65.06927721
sub8ex1,72.87147813,72.87147813,71.5539157
sub8ex2,77.84496406,77.84496406,77.56522826
sub8ex3,85.38170745,85.38170745,85.41342897
sub9ex1,80.03771659,80.03771659,79.90599132
sub9ex2,75.15575394,75.15575394,74.4287307
sub9ex3,74.79857092,74.79857092,73.12122274
sub10ex1,67.64271317,67.64271317,65.74985026
sub10ex2,66.03993114,66.03993114,64.88351701
sub10ex3,66.65680499,66.65680499,64.45729571
sub11ex1,78.90362373,78.90362373,78.67134388
sub11ex2,76.423931,76.423931,75.60027432
sub11ex3,84.99390133,84.99390133,84.92169115
sub12ex1,69.80864886,69.80864886,67.98059046
sub12ex2,60.46367183,60.46367183,57.94773807
sub12ex3,76.94417772,76.94417772,76.0888651
sub13ex1,73.11421379,73.11421379,72.45114221
sub13ex2,76.17167969,76.17167969,75.01444093
sub13ex3,70.34290954,70.34290954,69.04111626
sub14ex1,66.93595965,66.93595965,65.4425399
sub14ex2,55.28110105,55.28110105,53.02274886
sub14ex3,58.74860509,58.74860509,56.71305896
sub15ex1,96.32064291,96.32064291,96.34009075
sub15ex2,89.5294942,89.5294942,89.10975935
sub15ex3,87.97757766,87.97757766,87.20991636
Average,70.5563466,70.5563466,69.21259057
