Subject-Experiment,accuracy,recall,f1_score
sub1ex1,72.65114750127596,72.65114750127596,68.66413848139184
sub1ex2,63.92520696545817,63.92520696545817,61.248816604788395
sub1ex3,59.45847282415938,59.45847282415938,58.78189593368037
sub2ex1,64.162406249189,64.162406249189,61.485699359828416
sub2ex2,63.69164093114993,63.69164093114993,61.573594029206774
sub2ex3,64.64917516587512,64.64917516587512,62.29639184004579
sub3ex1,58.91919480272321,58.91919480272321,58.11185192483813
sub3ex2,67.14305487071688,67.14305487071688,64.22881080818874
sub3ex3,73.04777722990683,73.04777722990683,71.79907614573924
sub4ex1,78.64246230503724,78.64246230503724,78.72846026385602
sub4ex2,61.06307147985709,61.06307147985709,58.35495644050816
sub4ex3,66.4428758034239,66.4428758034239,66.30303850677672
sub5ex1,55.28888658206387,55.28888658206387,51.007384520181844
sub5ex2,59.35440617998425,59.35440617998425,57.77259519524286
sub5ex3,46.80377857939948,46.80377857939948,43.450328323381015
sub6ex1,71.4989749046272,71.4989749046272,69.29586415903263
sub6ex2,74.47927750240055,74.47927750240055,74.15576202018701
sub6ex3,69.96980942741719,69.96980942741719,68.23673456468336
sub7ex1,71.32535748579139,71.32535748579139,71.29433629653039
sub7ex2,85.35584217856557,85.35584217856557,85.1534967916295
sub7ex3,65.46397460185642,65.46397460185642,64.79427158529596
sub8ex1,73.11421379077674,73.11421379077674,72.12914447157556
sub8ex2,78.73268799903113,78.73268799903113,78.62803747288109
sub8ex3,86.47228782255903,86.47228782255903,86.4853865404975
sub9ex1,80.09169629495065,80.09169629495065,79.75704498212397
sub9ex2,76.2435661208142,76.2435661208142,75.81948450722109
sub9ex3,75.91761174404623,75.91761174404623,74.64370808594728
sub10ex1,67.84401249145753,67.84401249145753,66.38127219115164
sub10ex2,64.41733925033954,64.41733925033954,63.45661500659547
sub10ex3,64.00297580428898,64.00297580428898,61.6870199125913
sub11ex1,79.81703993979187,79.81703993979187,79.74119054555793
sub11ex2,77.01407451621554,77.01407451621554,76.20469931272521
sub11ex3,84.93473126930164,84.93473126930164,84.88936127768864
sub12ex1,66.44754712411006,66.44754712411006,64.13820691872218
sub12ex2,63.62105208522564,63.62105208522564,60.52647181285774
sub12ex3,79.56452910492305,79.56452910492305,79.02592530904337
sub13ex1,71.93340772844056,71.93340772844056,71.72251786692667
sub13ex2,74.5794513793372,74.5794513793372,72.98213277961118
sub13ex3,71.80935821244128,71.80935821244128,70.37011841732972
sub14ex1,71.43643111099577,71.43643111099577,70.24398332124636
sub14ex2,55.98716251870691,55.98716251870691,54.062430462588495
sub14ex3,56.98267286049188,56.98267286049188,55.16360776184028
sub15ex1,94.93801849496967,94.93801849496967,94.96097629016865
sub15ex2,86.49253021219906,86.49253021219906,86.11178945190002
sub15ex3,89.15855673491986,89.15855673491986,88.83475839642344
Average,70.77532773736029,70.77532773736029,69.43785304200507
