Subject-Experiment,accuracy,recall,f1_score
sub1ex1,71.26852308,71.26852308,67.53266201
sub1ex2,61.94915181,61.94915181,59.91363402
sub1ex3,56.30507184,56.30507184,55.79229377
sub2ex1,63.72165849,63.72165849,60.79591168
sub2ex2,64.73836279,64.73836279,62.51158871
sub2ex3,59.4988711,59.4988711,56.57335069
sub3ex1,60.77587176,60.77587176,59.96841799
sub3ex2,65.75870033,65.75870033,63.28194341
sub3ex3,71.83920276,71.83920276,70.57604858
sub4ex1,78.0247234,78.0247234,78.1324526
sub4ex2,54.86933278,54.86933278,52.75223609
sub4ex3,68.18328878,68.18328878,68.18125269
sub5ex1,60.94118461,60.94118461,57.53390503
sub5ex2,59.08476717,59.08476717,57.31387887
sub5ex3,46.1282537,46.1282537,42.56814578
sub6ex1,73.62061956,73.62061956,71.04483878
sub6ex2,76.18586666,76.18586666,75.78129309
sub6ex3,72.10745768,72.10745768,70.76179427
sub7ex1,72.3262312,72.3262312,72.29635447
sub7ex2,85.47522037,85.47522037,85.41117989
sub7ex3,65.9694288,65.9694288,65.35670215
sub8ex1,73.43125806,73.43125806,72.17118389
sub8ex2,78.55275565,78.55275565,78.25525978
sub8ex3,85.64632912,85.64632912,85.67788158
sub9ex1,80.24334121,80.24334121,80.06143927
sub9ex2,75.83370098,75.83370098,75.22942802
sub9ex3,74.91673803,74.91673803,73.30786042
sub10ex1,67.90750785,67.90750785,65.94467284
sub10ex2,65.62660577,65.62660577,64.48574225
sub10ex3,66.33526242,66.33526242,64.25705065
sub11ex1,79.3459286,79.3459286,79.1831879
sub11ex2,76.83656433,76.83656433,76.06900995
sub11ex3,85.14243203,85.14243203,85.10037179
sub12ex1,69.77897733,69.77897733,67.95307891
sub12ex2,60.28616164,60.28616164,57.74175895
sub12ex3,76.82531856,76.82531856,75.9937147
sub13ex1,73.26136039,73.26136039,72.57370219
sub13ex2,77.0561164,77.0561164,75.99471518
sub13ex3,70.51938166,70.51938166,69.21371398
sub14ex1,66.05152294,66.05152294,64.35208076
sub14ex2,54.86933278,54.86933278,52.75223609
sub14ex3,59.45483957,59.45483957,57.3927476
sub15ex1,96.26199189,96.26199189,96.27941037
sub15ex2,89.58814523,89.58814523,89.14582241
sub15ex3,87.97740465,87.97740465,87.21365372
Average,70.67823924,70.67823924,69.34288017
