Subject-Experiment,accuracy,recall,f1_score
sub1ex1,72.29854929540913,72.29854929540913,68.47054632797241
sub1ex2,63.777714340089446,63.777714340089446,61.09031701923085
sub1ex3,59.31028815128159,59.31028815128159,58.71903665717144
sub2ex1,63.86845906971514,63.86845906971514,61.14126718985098
sub2ex2,62.19379060372495,62.19379060372495,59.787786571187496
sub2ex3,65.15116912776061,65.15116912776061,62.780907322983566
sub3ex1,59.74480748103357,59.74480748103357,58.87242056190689
sub3ex2,67.40802256074879,67.40802256074879,64.43010477718956
sub3ex3,73.10625524442253,73.10625524442253,71.91902686295126
sub4ex1,78.55448576544781,78.55448576544781,78.67841285376161
sub4ex2,61.150701995691996,61.150701995691996,58.423219690036355
sub4ex3,66.82583759375082,66.82583759375082,66.66608023110663
sub5ex1,56.17332329864445,56.17332329864445,51.85034434369008
sub5ex2,58.88415989757698,58.88415989757698,57.324933129541954
sub5ex3,47.12687826019256,47.12687826019256,43.6866516186794
sub6ex1,71.35079023174941,71.35079023174941,69.23383344313645
sub6ex2,74.21517487175495,74.21517487175495,73.85831501235137
sub6ex3,69.88217891158229,69.88217891158229,68.22460531560321
sub7ex1,71.47285011116013,71.47285011116013,71.37648077858806
sub7ex2,85.32634365349182,85.32634365349182,85.12911840304255
sub7ex3,65.28940561769565,65.28940561769565,64.65584905260565
sub8ex1,73.70331923286534,73.70331923286534,72.77131914489887
sub8ex2,78.61538594624521,78.61538594624521,78.44881837529792
sub8ex3,86.64858692549242,86.64858692549242,86.64498119511941
sub9ex1,80.18001885829463,80.18001885829463,79.809244537162
sub9ex2,76.27358368151974,76.27358368151974,75.86554931482704
sub9ex3,76.0356058443412,76.0356058443412,74.85105436134909
sub10ex1,67.93164300729245,67.93164300729245,66.28621988599623
sub10ex2,64.35834220019206,64.35834220019206,63.35428375790809
sub10ex3,64.17979394285418,64.17979394285418,61.89938475510097
sub11ex1,79.96418654140606,79.96418654140606,79.86933549919644
sub11ex2,76.95438541855899,76.95438541855899,76.16414052945046
sub11ex3,84.96440280625265,84.96440280625265,84.94488241668208
sub12ex1,66.33024507132414,66.33024507132414,64.08580454590951
sub12ex2,63.20789972231595,63.20789972231595,60.17116414100667
sub12ex3,79.35803942940683,79.35803942940683,78.78167639656183
sub13ex1,72.22821996730076,72.22821996730076,72.03559596523361
sub13ex2,74.66829297831296,74.66829297831296,73.10617679736536
sub13ex3,71.66221161082709,71.66221161082709,70.19935639263488
sub14ex1,71.199923874774,71.199923874774,70.02425781366398
sub14ex2,55.72236784055226,55.72236784055226,53.74030414793945
sub14ex3,57.15879895154802,57.15879895154802,55.34942056011512
sub15ex1,94.96751702004342,94.96751702004342,94.984190568575
sub15ex2,86.4632046990026,86.4632046990026,86.09096471040064
sub15ex3,89.07040718345314,89.07040718345314,88.742922533258
Average,70.77683486304667,70.77683486304667,69.43422901129424
