Subject-Experiment,accuracy,recall,f1_score
sub11ex1,77.66079291343351,77.66079291343351,74.68410417847113
sub11ex2,87.93034541821297,87.93034541821297,85.54328780271426
sub11ex3,89.38053097345133,89.38053097345133,88.20231342831907
sub12ex1,80.82673725551258,80.82673725551258,77.91899890332503
sub12ex2,72.38877498940302,72.38877498940302,65.11213503419346
sub12ex3,90.41427694011195,90.41427694011195,89.96116752323836
sub13ex1,88.58285971331932,88.58285971331932,86.99388999427292
sub13ex2,85.24459554148392,85.24459554148392,84.85138063205841
sub13ex3,85.78958295486984,85.78958295486984,83.36315488154817
sub14ex1,72.63159715914499,72.63159715914499,70.4054688729742
sub14ex2,66.32799591691969,66.32799591691969,60.04737763187275
sub14ex3,67.55084386543137,67.55084386543137,64.10586069914186
sub15ex1,80.6775145113712,80.6775145113712,77.90261676686241
sub15ex2,99.44281524926687,99.44281524926687,99.44319125362964
sub15ex3,96.10619469026548,96.10619469026548,95.37940976254355
Average,82.73036387281321,82.73036387281321,80.26095715767768
